"","PID","HHID","Sex","Ethnicity","Age","BMI","Grip","Religion","ReligionPublic","ReligionPrivate","GodInequality","EducationYears","PeaceVote","AbortionLegal","QueerMarriageOK","DrugsLegal","GiveOther","LeaveOther","ReduceOther","ChildrenAlive","hh_wealth","RelPub","RelPri","GodIneq","community"
"1","AB9","VJR","F","AFROCOLOMBIAN",40.4166666666667,29.2159763313609,"24.325","CATHOLIC","AFEWTIMESPERWEEK","AFEWTIMESPERWEEK","YES",7,"AGREE","DISAGREE","DISAGREE","DISAGREE",12,114,0,3,25270,1,2,1,"coastal"
"2","AJJ","ZGP","F","AFROCOLOMBIAN",43.9166666666667,35.5972746545137,"27.25","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","DONTKNOW",9,"AGREE","AGREE","DISAGREE","DISAGREE",15,113,0,0,11840,2,1,2,"coastal"
"3","AMU","RXP","M","EMBERA",28.25,24.2424242424242,"28.35","NONE","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","YES",14,"AGREE","AGREE","AGREE","DISAGREE",15,90,0,3,520,2,2,1,"coastal"
"4","AY9","C7R","M","AFROCOLOMBIAN",38.25,34.4938864785399,"32.325","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","NO",11,"AGREE","DISAGREE","DISAGREE","AGREE",15,105,3,2,14820,2,2,2,"coastal"
"5","B7D","GYQ","F","AFROCOLOMBIAN",82.75,20.8333333333333,"12.45","CATHOLIC","ONCEPERWEEK","EVERYDAY","YES",0,"DONTKNOW","DISAGREE","DONTKNOW","DISAGREE",10,96,2,5,1323,1,1,1,"coastal"
"6","BFX","CW2","F","AFROCOLOMBIAN",43.3333333333333,29.169033378997,"38.075","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","YES",3,"AGREE","AGREE","DISAGREE","DISAGREE",11,83,0,5,17020,2,2,1,"coastal"
"7","C23","VWH","F","EMBERA",34,28.2416963783074,"12.95","NONE","AFEWTIMESPERWEEK","NEVER","YES",0,"AGREE","DISAGREE","AGREE","DISAGREE",12,48,0,7,2090,1,2,1,"coastal"
"8","CHC","FES","M","AFROCOLOMBIAN",31.4166666666667,24.6631801052536,"33.6","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",11,"AGREE","DISAGREE","DISAGREE","DISAGREE",11,107,3,1,8654,2,1,1,"coastal"
"9","CKE","GUF","M","EMBERA",29.8333333333333,21.7047344719867,"37.3","SPIRITUAL","NEVER","EVERYDAY","YES",3,"AGREE","DISAGREE","DISAGREE","DISAGREE",5,0,10,4,4720,2,1,1,"coastal"
"10","D34","MRC","F","AFROCOLOMBIAN",20.6666666666667,19.8285531164877,"23.1","SPIRITUAL","NEVER","NEVER","NO",11,"AGREE","DISAGREE","AGREE","DISAGREE",13,54,0,1,4880,2,2,2,"coastal"
"11","DSD","KRB","F","AFROCOLOMBIAN",46.1666666666667,27.5533392248453,"39.15","CATHOLIC","AFEWTIMESPERYEAR","NEVER","NO",11,"AGREE","DISAGREE","DISAGREE","DISAGREE",12,107,2,3,6540,2,2,2,"coastal"
"12","DUB","FRN","M","AFROCOLOMBIAN",36.1666666666667,27.0061728395062,"41.075","CATHOLIC","ONCEPERWEEK","MORETHANONCEPERDAY","YES",9,"DISAGREE","DISAGREE","AGREE","DISAGREE",15,3,0,3,12986,1,1,1,"coastal"
"13","DWH","JFC","M","EMBERA",35.8333333333333,24.0955004591368,"43.975","NONE","NEVER","NEVER","UNKNOWN",0,"DONTKNOW","DONTKNOW","DONTKNOW","DONTKNOW",14,100,0,1,320,2,2,2,"coastal"
"14","DY7","V73","F","EMBERA",39.5,25.8203335126412,"20.775","CATHOLIC","AFEWTIMESPERYEAR","NEVER","YES",0,"AGREE","AGREE","DISAGREE","DISAGREE",10,58,0,8,1527,2,2,1,"coastal"
"15","DYG","W99","M","AFROCOLOMBIAN",29.9166666666667,30.2914232819432,"58.45","SPIRITUAL","AFEWTIMESPERYEAR","AFEWTIMESPERMONTH","NO",5,"AGREE","DISAGREE","AGREE","AGREE",15,105,0,1,5880,2,2,2,"coastal"
"16","E1F","VV1","F","AFROCOLOMBIAN",40.9166666666667,26.2204081632653,"37.925","CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERMONTH","YES",7,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",11,106,5,5,5420,2,2,1,"coastal"
"17","ERD","DUZ","F","AFROCOLOMBIAN",53.5833333333333,28.7638443750254,"21.225","CATHOLIC","ONCEPERWEEK","AFEWTIMESPERWEEK","YES",2,"AGREE","DISAGREE","DISAGREE","DISAGREE",10,99,0,3,15880,1,2,1,"coastal"
