"","pesu101","pesu102","pesu103","pesu104","pesu105","pesu106","pesu107","pesu108","pesu110","pesu111","pesu112","pesu113","pesu116","pesu117","pesu119","pesu120","pesu121","pesu122","pesu123","pesu124","pesu125","pesu126","pesu127","pesu128","pesu129","pesu131","pesu132","pesu133","pesu134","pesu135","pesu137","pesu138","pesu139","pesu143","pesu144","pesu145","pesu147","pesu148","pesu149","pesu152","pesu154","pesu157","pesu161","pesu162"
"pesu101",0.482142857142857,0.0078125,0.0078125,0,0.125,0.125,0.0078125,0.166666666666667,0,0.05,0.03125,0,0.125,0,0,0,0,0,0.125,0.104166666666667,0,0,0,0,0.0111607142857143,0,0,0,0.0143229166666667,0,0.0625,0.00892857142857143,0.0625,0,0,0,0.0625,0.125,0.125,0,0,0,0,0
"pesu102",0.0078125,0.45,0.125,0,0.0078125,0.0078125,0.03125,0.00520833333333333,0,0.00625,0.0078125,0,0.0078125,0,0,0,0,0,0.0078125,0.00651041666666667,0,0,0,0,0.0446428571428571,0,0,0,0.0572916666666667,0,0.00390625,0.142857142857143,0,0,0,0,0.00390625,0.0078125,0.0078125,0,0,0,0,0
"pesu103",0.0078125,0.125,0.466666666666667,0,0.0078125,0.0078125,0.03125,0.00520833333333333,0,0.00625,0.0078125,0,0.0078125,0,0,0,0,0,0.0078125,0.00651041666666667,0,0,0,0,0.0446428571428571,0,0,0,0.0572916666666667,0,0.00390625,0.142857142857143,0,0,0,0,0.00390625,0.0078125,0.0078125,0,0,0,0,0
"pesu104",0,0,0,0.549479166666667,0,0,0,0,0,0,0,0,0.0234375,0.09375,0,0,0,0,0.0546875,0,0.0703125,0,0.109375,0.0911458333333333,0,0,0,0.046875,0,0,0,0,0,0.1640625,0,0,0,0,0,0,0,0.21875,0.240885416666667,0
"pesu105",0.125,0.0078125,0.0078125,0,0.492424242424242,0.125,0.0703125,0.0833333333333333,0,0.05,0.03125,0,0.125,0,0.0208333333333333,0,0.015625,0,0.125,0.104166666666667,0,0,0,0,0.0111607142857143,0,0,0,0.0143229166666667,0,0.25,0.00892857142857143,0.0625,0,0,0.03125,0.125,0.375,0.25,0.046875,0.0572916666666667,0.0208333333333333,0.0364583333333333,0
"pesu106",0.125,0.0078125,0.0078125,0,0.125,0.486111111111111,0.0078125,0.0833333333333333,0.04296875,0.05,0.03125,0.0625,0.125,0,0,0.0625,0,0,0.125,0.117838541666667,0,0.00390625,0,0,0.0111607142857143,0.125,0.107142857142857,0,0.0143229166666667,0.009375,0.0625,0.00892857142857143,0.0625,0,0,0,0.0625,0.125,0.125,0,0,0,0,0
"pesu107",0.0078125,0.03125,0.03125,0,0.0703125,0.0078125,0.5,0.00520833333333333,0,0.00625,0.0078125,0,0.0078125,0,0.0104166666666667,0,0.02734375,0,0.0078125,0.00651041666666667,0,0,0,0,0.0446428571428571,0,0,0,0.2578125,0,0.03515625,0.0357142857142857,0,0,0,0.015625,0.03515625,0.0703125,0.0703125,0.0234375,0.0286458333333333,0.0104166666666667,0.0182291666666667,0
"pesu108",0.166666666666667,0.00520833333333333,0.00520833333333333,0,0.0833333333333333,0.0833333333333333,0.00520833333333333,0.354838709677419,0,0.0333333333333333,0.0208333333333333,0,0.0833333333333333,0,0,0,0,0,0.0833333333333333,0.0810810810810811,0,0,0,0,0.00744047619047619,0,0,0,0.00954861111111111,0,0.0416666666666667,0.00595238095238095,0.0416666666666667,0,0,0,0.0416666666666667,0.0833333333333333,0.0833333333333333,0,0,0,0,0
"pesu110",0,0,0,0,0,0.04296875,0,0,0.517795138888889,0,0,0.04296875,0,0,0,0.04296875,0,0,0,0.168619791666667,0,0.0390625,0,0,0,0.0859375,0.0736607142857143,0,0,0.115625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pesu111",0.05,0.00625,0.00625,0,0.05,0.05,0.00625,0.0333333333333333,0,0.35,0.025,0,0.05,0,0,0,0,0.05,0.05,0.0416666666666667,0,0,0,0,0.00892857142857143,0,0,0,0.0114583333333333,0,0.025,0.00714285714285714,0,0,0,0,0.025,0.05,0.05,0,0,0,0,0
"pesu112",0.03125,0.0078125,0.0078125,0,0.03125,0.03125,0.0078125,0.0208333333333333,0,0.025,0.321428571428571,0,0.03125,0,0,0,0,0,0.03125,0.0260416666666667,0,0,0,0,0.0111607142857143,0,0,0,0.0143229166666667,0,0.015625,0.00892857142857143,0,0,0,0,0.015625,0.03125,0.03125,0,0,0,0,0
"pesu113",0,0,0,0,0,0.0625,0,0,0.04296875,0,0,0.333333333333333,0,0,0.0104166666666667,0.125,0,0,0,0.013671875,0,0.00390625,0,0,0,0.125,0.25,0,0,0.009375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pesu116",0.125,0.0078125,0.0078125,0.0234375,0.125,0.125,0.0078125,0.0833333333333333,0,0.05,0.03125,0,0.45,0.00892857142857143,0,0,0,0,0.1328125,0.104166666666667,0.0078125,0,0.015625,0.0130208333333333,0.0111607142857143,0,0,0.0625,0.0143229166666667,0,0.0625,0.00892857142857143,0.0625,0.015625,0,0,0.0625,0.125,0.125,0,0,0.0208333333333333,0.0130208333333333,0
"pesu117",0,0,0,0.09375,0,0,0,0,0,0,0,0,0.00892857142857143,0.00595238095238095,0,0,0,0,0.0223214285714286,0,0.03125,0,0.0446428571428571,0.037202380952381,0,0,0,0.0178571428571429,0,0,0,0,0,0.0803571428571429,0,0,0,0,0,0,0,0.107142857142857,0.0669642857142857,0
"pesu119",0,0,0,0,0.0208333333333333,0,0.0104166666666667,0,0,0,0,0.0104166666666667,0,0,0.194444444444444,0.0104166666666667,0.0104166666666667,0,0,0,0,0,0,0,0,0,0.0238095238095238,0,0,0,0.0104166666666667,0,0,0,0,0.0208333333333333,0.0104166666666667,0.0208333333333333,0.0208333333333333,0.015625,0.0190972222222222,0.0138888888888889,0.0243055555555556,0
"pesu120",0,0,0,0,0,0.0625,0,0,0.04296875,0,0,0.125,0,0,0.0104166666666667,0.45,0,0,0,0.013671875,0,0.00390625,0,0,0,0.125,0.25,0,0,0.009375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pesu121",0,0,0,0,0.015625,0,0.02734375,0,0,0,0,0,0,0,0.0104166666666667,0,0.416666666666667,0,0,0,0,0,0,0,0,0,0,0,0.00716145833333333,0,0.0078125,0,0,0,0,0.25,0.0078125,0.015625,0.015625,0.01171875,0.0143229166666667,0.0833333333333333,0.0729166666666667,0
"pesu122",0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.482142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pesu123",0.125,0.0078125,0.0078125,0.0546875,0.125,0.125,0.0078125,0.0833333333333333,0,0.05,0.03125,0,0.1328125,0.0223214285714286,0,0,0,0,0.416666666666667,0.208333333333333,0.046875,0,0.25,0.0520833333333333,0.0111607142857143,0,0,0.015625,0.0143229166666667,0,0.0625,0.00892857142857143,0.0625,0.0390625,0,0,0.0625,0.125,0.125,0,0,0.0520833333333333,0.0325520833333333,0
"pesu124",0.104166666666667,0.00651041666666667,0.00651041666666667,0,0.104166666666667,0.117838541666667,0.00651041666666667,0.0810810810810811,0.168619791666667,0.0416666666666667,0.0260416666666667,0.013671875,0.104166666666667,0,0,0.013671875,0,0,0.208333333333333,0.526209677419355,0,0.041015625,0,0,0.00930059523809524,0.02734375,0.0228924418604651,0,0.0119357638888889,0.123958333333333,0.0520833333333333,0.00744047619047619,0.0520833333333333,0,0,0,0.0520833333333333,0.104166666666667,0.104166666666667,0,0,0,0,0
